user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
no_cart,14,Sunday,357,28.73,5.22,8.15,30.73
no_cart,14,Thursday,319,28.01,5.27,7.54,36.53
no_cart,14,Tuesday,356,30.44,6.17,6.1,31.73
no_cart,14,Wednesday,306,24.2,4.73,7.33,23.72
purchase,14,Monday,654,44.81,6.51,11.56,34.59
purchase,14,Sunday,554,40.58,6.77,10.81,36.72
purchase,14,Friday,496,42.76,6.31,11.35,31.09
purchase,14,Thursday,539,36.39,5.76,10.02,31.89
purchase,14,Saturday,451,48.68,7.00,13.76,38.61
purchase,14,Tuesday,555,42.73,6.31,11.48,33.43
purchase,14,Wednesday,570,43.72,6.35,11.69,34.54
implicit_abandon,14,Thursday,2228,17.92,2.63,9.3,11.75
implicit_abandon,14,Saturday,2140,19.87,3.24,8.6,14.63
implicit_abandon,14,Sunday,2337,19.44,3.06,8.81,11.00
implicit_abandon,14,Tuesday,2316,20.61,3.18,8.99,13.86
implicit_abandon,14,Monday,2700,19.38,3.05,8.9,13.04
implicit_abandon,14,Wednesday,2556,18.97,3.02,8.02,11.59
implicit_abandon,14,Friday,2023,19.56,3.18,8.99,14.43
explicit_abandon,14,Friday,865,45.06,7.76,9.48,39.29
explicit_abandon,14,Saturday,910,41.39,7.86,9.04,32.08
explicit_abandon,14,Thursday,929,41.75,7.04,10.43,36.97
explicit_abandon,14,Monday,1097,45.48,6.90,11.51,35.34
explicit_abandon,14,Sunday,998,43.28,7.94,9.53,33.64
explicit_abandon,14,Wednesday,980,46.36,7.76,10.25,29.53
explicit_abandon,14,Tuesday,975,47.62,6.94,9.61,38.10
no_cart,15,Tuesday,329,28.6,5.96,6.25,30.97
no_cart,15,Wednesday,306,31.7,6.67,5.79,32.17
no_cart,15,Friday,309,72.83,9.70,7.85,35.82
no_cart,15,Sunday,338,30.57,5.09,8.6,28.38
no_cart,15,Saturday,304,32.93,6.14,6.18,26.61
no_cart,15,Thursday,300,25.31,6.29,5.49,30.53
no_cart,15,Monday,379,31.56,7.89,6.01,39.46
purchase,15,Friday,488,42.96,6.29,12.03,35.15
purchase,15,Thursday,456,38.75,5.79,10.58,30.28
purchase,15,Monday,598,44.95,7.00,11.42,34.18
purchase,15,Tuesday,541,43.97,6.39,14.53,31.58
purchase,15,Saturday,438,57.53,6.83,12.65,34.89
purchase,15,Sunday,544,42.61,6.80,11.09,33.73
